id,numero_factura,cliente,total,fecha_id
1051,f-sdadas,32,86132.97,2026-05-25
1052,f-1111222,36,49011.60,2026-05-25
77,FAC-C-000027,35,19692.59,2026-04-10
51,FAC-C-000001,46,2713.57,2026-04-19
52,FAC-B-000002,81,102122.32,2026-03-05
53,FAC-A-000003,36,10401.58,2026-03-25
54,FAC-B-000004,78,18981.10,2026-04-17
55,FAC-C-000005,56,6147.32,2026-04-03
56,FAC-C-000006,53,25872.74,2026-03-29
57,FAC-A-000007,80,9462.19,2026-05-25
58,FAC-A-000008,81,33204.91,2026-04-14
59,FAC-C-000009,54,4168.75,2026-03-16
60,FAC-B-000010,55,4305.85,2026-04-26
61,FAC-A-000011,58,19717.48,2026-03-05
62,FAC-B-000012,61,13082.52,2026-04-19
63,FAC-A-000013,46,72170.76,2026-05-19
64,FAC-A-000014,72,30266.52,2026-04-17
65,FAC-C-000015,81,8497.67,2026-02-24
66,FAC-C-000016,55,11222.89,2026-04-11
67,FAC-A-000017,56,2787.21,2026-04-26
68,FAC-B-000018,43,758.38,2026-04-29
69,FAC-C-000019,64,11006.84,2026-03-16
70,FAC-C-000020,68,21364.84,2026-03-22
71,FAC-B-000021,74,381.22,2026-05-14
72,FAC-C-000022,81,2112.83,2026-02-25
73,FAC-C-000023,52,19854.33,2026-05-07
74,FAC-B-000024,81,829.35,2026-03-16
75,FAC-B-000025,81,26947.48,2026-04-23
76,FAC-A-000026,81,12435.24,2026-03-28
78,FAC-C-000028,46,1329.52,2026-05-20
79,FAC-A-000029,81,146.92,2026-05-15
80,FAC-B-000030,81,1478.31,2026-04-13
81,FAC-B-000031,32,4263.27,2026-05-10
82,FAC-C-000032,81,24056.92,2026-05-25
83,FAC-B-000033,32,4803.18,2026-04-03
84,FAC-C-000034,55,4568.64,2026-03-29
85,FAC-B-000035,81,4136.93,2026-03-08
86,FAC-B-000036,81,11251.98,2026-03-24
87,FAC-A-000037,66,11109.05,2026-03-05
88,FAC-B-000038,57,2035.36,2026-05-03
89,FAC-B-000039,81,13889.05,2026-03-23
90,FAC-C-000040,59,758.38,2026-05-09
91,FAC-C-000041,37,8508.33,2026-05-24
92,FAC-A-000042,68,132.07,2026-03-10
93,FAC-C-000043,78,2028.14,2026-05-17
94,FAC-C-000044,49,7053.05,2026-04-17
95,FAC-A-000045,47,10845.22,2026-04-04
96,FAC-B-000046,81,8626.14,2026-02-28
97,FAC-B-000047,81,15649.16,2026-04-28
98,FAC-A-000048,44,1719.07,2026-05-15
99,FAC-C-000049,74,470.52,2026-03-17
100,FAC-A-000050,76,5886.52,2026-04-01
101,FAC-C-000051,81,12466.55,2026-04-13
102,FAC-C-000052,32,2121.79,2026-05-20
103,FAC-C-000053,79,3068.22,2026-03-10
104,FAC-C-000054,81,7729.65,2026-05-03
105,FAC-A-000055,76,32413.66,2026-03-25
106,FAC-A-000056,59,1030.61,2026-03-08
